"id","title","year","area","url","read_depth","mota_factor_connection"
"FR013","Dissecting Anomalies with a Five-Factor Model","2016","quant-factor","https://doi.org/10.1093/rfs/hhv043","survey","因子解释力拆解对应 reward 分量消融"
"FR014","Qlib: An AI-oriented Quantitative Investment Platform","2020","quant-platform","https://arxiv.org/abs/2009.11189","survey","实验记录、数据集、回测框架可迁移到魔塔数据管线"
"FR015","Alpha360: A Deep Learning Based End-to-End Framework for Quantitative Investment","2022","quant-platform","https://github.com/microsoft/qlib","skim","端到端金融状态表示可类比魔塔多模态观测"
"FR016","Alpha-GPT: Human-AI Interactive Alpha Mining for Quantitative Investment","2023","quant-alpha-llm","https://arxiv.org/abs/2308.00016","deep","LLM 生成候选因子，人类/回测反馈筛选，适合魔塔 reward 迭代"
"FR017","AlphaForge: A Framework to Mine and Dynamically Combine Formulaic Alpha Factors","2024","quant-alpha-llm","https://arxiv.org/abs/2406.18394","deep","因子生成和动态组合可对应 heuristic ensemble"
"FR018","Synergistic Formulaic Alpha Generation for Quantitative Trading based on Reinforcement Learning","2024","quant-alpha-rl","https://arxiv.org/abs/2401.02710","deep","RL 搜索公式因子，映射到自动搜索魔塔状态公式"
"FR019","QuantFactor REINFORCE: Mining Steady Formulaic Alpha Factors with Variance-bounded REINFORCE","2024","quant-alpha-rl","https://arxiv.org/abs/2409.05144","skim","把公式生成作为策略，收益/稳定性作为奖励"
"FR020","Alpha Mining and Enhancing via Warm Start Genetic Programming for Quantitative Investment","2024","quant-alpha-gp","https://arxiv.org/abs/2412.00896","survey","warm start GP 对应从专家轨迹初始化因子搜索"
"FR021","Navigating the Alpha Jungle: An LLM-Powered MCTS Framework for Formulaic Factor Mining","2025","quant-alpha-llm-mcts","https://arxiv.org/abs/2505.11122","deep","LLM+MCTS 搜索表达式，直接对应魔塔 reward/heuristic 搜索"
"FR022","Chain-of-Alpha: Unleashing the Power of Large Language Models for Alpha Mining in Quantitative Trading","2025","quant-alpha-llm","https://arxiv.org/abs/2508.06312","survey","生成链和优化链对应 reward 候选与回测反馈闭环"
"FR023","FactorEngine: A Program-level Knowledge-Infused Factor Mining Framework for Quantitative Investment","2026","quant-alpha-code","https://arxiv.org/abs/2603.16365","survey","可执行程序级因子对应可审计 reward 代码"
"FR024","FactorMiner: A Self-Evolving Agent with Skills and Experience Memory for Financial Alpha Discovery","2026","quant-alpha-agent","https://arxiv.org/abs/2602.14670","survey","技能库和经验记忆对应失败路线记忆"
"FR025","AlphaPROBE: Alpha Mining via Principled Retrieval and On-graph Biased Evolution","2026","quant-alpha-evolution","https://arxiv.org/abs/2602.11917","survey","检索高潜种子和图演化对应状态因子族谱"
"FR026","Using Genetic Algorithms to Find Technical Trading Rules","1999","gp-trading","https://doi.org/10.1016/S0304-405X(99)00052-X","survey","早期规则搜索，说明可解释公式搜索的可行性"
"FR027","Generating Trading Rules on the Stock Markets with Genetic Programming","2004","gp-trading","https://doi.org/10.1016/S0305-0548(03)00063-7","survey","GP 交易规则可迁移为门/怪/资源规则"
"FR028","A Genetic Programming Model to Generate Risk-Adjusted Technical Trading Rules in Stock Markets","2012","gp-trading","https://doi.org/10.1016/j.eswa.2011.02.134","survey","风险调整目标对应通关概率与剩余 HP 双目标"
"FR029","Genetic Programming for Financial Trading: A Critical Survey","2013","gp-trading","https://doi.org/10.1007/s10462-012-9310-0","survey","交易规则挖掘陷阱可迁移到 reward 过拟合控制"
"FR030","Discovering Financial Technical Trading Rules with Genetic Programming","1998","gp-trading","https://doi.org/10.1002/(SICI)1099-0526(199803/04)4:2<45::AID-CPLX5>3.0.CO;2-2","skim","用历史轨迹挖规则，对应从搜索日志挖策略规则"
"FR031","AI Feynman: A Physics-Inspired Method for Symbolic Regression","2019","symbolic-regression","https://arxiv.org/abs/1905.11481","survey","自动发现闭式公式，对应发现伤害/价值近似"
"FR032","AI Feynman 2.0: Pareto-optimal Symbolic Regression Exploiting Graph Modularity","2020","symbolic-regression","https://arxiv.org/abs/2006.10782","survey","模块化公式分解对应楼层/资源子系统分解"
"FR033","Discovering Governing Equations from Data by Sparse Identification of Nonlinear Dynamical Systems","2016","symbolic-regression","https://doi.org/10.1073/pnas.1517384113","survey","稀疏项选择对应少量关键因子选择"
"FR034","SISSO: A Compressed-Sensing Method for Identifying the Best Low-Dimensional Descriptor","2018","symbolic-regression","https://doi.org/10.1103/PhysRevMaterials.2.083802","survey","低维描述子寻找对应少量强状态因子"
"FR035","Distilling Free-Form Natural Laws from Experimental Data","2009","symbolic-regression","https://doi.org/10.1126/science.1165893","survey","Eureqa 式发现可解释表达式，对应状态价值公式"
"FR036","Deep Symbolic Regression for Recurrent Sequences","2021","symbolic-regression","https://arxiv.org/abs/2101.04624","skim","序列公式发现对应轨迹因子生成"
"FR037","Discovering Symbolic Models from Deep Learning with Inductive Biases","2020","symbolic-regression","https://arxiv.org/abs/2006.11287","skim","神经网络到符号规则蒸馏对应策略解释"
"FR038","Policy Invariance under Reward Transformations: Theory and Application to Reward Shaping","1999","reward-shaping","https://people.eecs.berkeley.edu/~pabbeel/cs287-fa09/readings/NgHaradaRussell-shaping-ICML1999.pdf","deep","势函数 shaping 的理论底座，避免改变最优解"
"FR039","Potential-Based Shaping and Q-Value Initialization are Equivalent","2003","reward-shaping","https://www.jair.org/index.php/jair/article/view/10314","survey","shaping 可转化为初始化价值，适合搜索启发式"
"FR040","Dynamic Potential-Based Reward Shaping","2012","reward-shaping","https://dl.acm.org/doi/10.5555/2343896.2344020","survey","动态势函数对应不同楼层阶段"
"FR041","Potential-Based Reward Shaping for Reinforcement Learning in Multi-Agent Systems","2008","reward-shaping","https://dl.acm.org/doi/10.5555/1402298.1402304","skim","局部奖励分解思想可用于子目标"
"FR042","Reward Design via Online Gradient Ascent","2010","reward-design","https://papers.nips.cc/paper_files/paper/2010/file/168908dd3227b8358eababa07fcaf091-Paper.pdf","deep","PGRD 直接优化 reward 参数，适合自动调 heuristic 权重"
"FR043","Learning Intrinsic Rewards for Policy Gradient Methods","2018","reward-design","https://arxiv.org/abs/1804.06459","survey","学习内在奖励，适合稀疏通关任务"
"FR044","Learning to Incentivize Other Learning Agents","2020","reward-design","https://arxiv.org/abs/2006.06051","skim","奖励学习器和策略学习器解耦"
"FR045","Meta-Gradient Reinforcement Learning","2018","meta-rl","https://arxiv.org/abs/1805.09801","survey","用元梯度调 discount/bootstrapping，启发 reward 参数调节"
"FR046","Learning to Reinforcement Learn","2016","meta-rl","https://arxiv.org/abs/1611.05763","skim","把学习算法参数化，启发自动搜索启发式"
"FR047","RUDDER: Return Decomposition for Delayed Rewards","2019","credit-assignment","https://arxiv.org/abs/1806.07857","deep","把最终通关奖励回分配到关键动作"
"FR048","Learning Long-Term Reward Redistribution via Randomized Return Decomposition","2021","credit-assignment","https://arxiv.org/abs/2111.13485","deep","用随机片段学习代理 reward，适合搜索日志"
"FR049","Hindsight Experience Replay","2017","sparse-reward","https://arxiv.org/abs/1707.01495","survey","失败轨迹改写目标，适合未打败 boss 的部分路线"
"FR050","Universal Value Function Approximators","2015","goal-conditioned-rl","https://arxiv.org/abs/1502.01567","survey","多目标价值函数对应楼层/装备子目标"
"FR051","Curiosity-driven Exploration by Self-supervised Prediction","2017","exploration","https://arxiv.org/abs/1705.05363","survey","ICM 对新状态奖励，适合开门/新区域探索"
"FR052","Exploration by Random Network Distillation","2018","exploration","https://arxiv.org/abs/1810.12894","survey","RND 可用于发现罕见里程碑"
"FR053","Never Give Up: Learning Directed Exploration Strategies","2020","exploration","https://arxiv.org/abs/2002.06038","survey","episodic novelty+lifelong novelty 对长图探索有参考"
"FR054","Go-Explore: a New Approach for Hard-Exploration Problems","2021","exploration","https://arxiv.org/abs/1901.10995","survey","返回有希望状态再探索，适合魔塔确定性状态"
"FR055","Planning to Explore via Self-Supervised World Models","2020","exploration-world-model","https://arxiv.org/abs/2005.05960","survey","Plan2Explore 可用于未知地图/事件发现"
"FR056","World Models","2018","world-model","https://arxiv.org/abs/1803.10122","survey","隐空间模型的早期路线"
"FR057","Dreamer: Reinforcement Learning with Latent Dynamics Models","2019","world-model","https://arxiv.org/abs/1912.01603","survey","隐空间 imagined rollouts 对低成本规划有用"
"FR058","Mastering Atari with Discrete World Models","2020","world-model","https://arxiv.org/abs/2010.02193","survey","DreamerV2 离散潜变量适合离散游戏"
"FR059","Mastering Diverse Domains through World Models","2023","world-model","https://arxiv.org/abs/2301.04104","survey","DreamerV3 泛化经验"
"FR060","Mastering Atari, Go, Chess and Shogi by Planning with a Learned Model","2019","model-based-rl","https://arxiv.org/abs/1911.08265","survey","MuZero 证明隐模型+搜索的通用性"
"FR061","Mastering Atari Games with Limited Data","2021","model-based-rl","https://arxiv.org/abs/2111.00210","survey","EfficientZero 强调样本效率"
"FR062","Policy Improvement by Planning with Gumbel","2021","model-based-rl","https://arxiv.org/abs/2111.03157","survey","Gumbel MuZero 改进动作选择"
"FR063","Thinker: Learning to Plan and Act","2023","model-based-rl","https://arxiv.org/abs/2307.14993","deep","让 agent 自主决定思考深度，适合关键节点规划"
"FR064","UniZero: Generalized and Efficient Planning with Scalable Latent World Models","2024","model-based-rl","https://arxiv.org/abs/2406.10667","survey","长历史解耦适合跨楼层记忆"
"FR065","MCTSnets: Learning to Plan with Monte Carlo Tree Search","2018","neural-search","https://arxiv.org/abs/1802.04697","survey","把搜索过程神经化，可用于学习启发式"
"FR066","ExPoSe: Combining State-Based Exploration with Gradient-Based Online Search","2022","neural-search","https://arxiv.org/abs/2202.01461","skim","在线搜索和策略梯度结合"
"FR067","Value Iteration Networks","2016","neural-planning","https://arxiv.org/abs/1602.02867","survey","可微规划层用于局部寻路因子"
"FR068","Predictron: End-To-End Learning and Planning","2016","neural-planning","https://arxiv.org/abs/1612.08810","survey","内部 rollout 价值预测"
"FR069","Imagination-Augmented Agents for Deep Reinforcement Learning","2017","neural-planning","https://arxiv.org/abs/1707.06203","survey","用环境模型辅助策略"
"FR070","Algorithms for Inverse Reinforcement Learning","2000","irl","https://ai.stanford.edu/~ang/papers/icml00-irl.pdf","survey","从专家路径反推出 reward 权重"
"FR071","Apprenticeship Learning via Inverse Reinforcement Learning","2004","irl","https://ai.stanford.edu/~ang/papers/icml04-apprentice.pdf","survey","特征期望匹配对应路线因子匹配"
"FR072","Maximum Entropy Inverse Reinforcement Learning","2008","irl","https://www.cs.cmu.edu/~bziebart/publications/maximum-entropy-inverse-reinforcement-learning.html","deep","从多条专家路线学习非唯一 reward"
"FR073","Maximum Causal Entropy Correlated Equilibria for Markov Games","2010","irl","https://www.cs.cmu.edu/~bziebart/publications/maxentirl-bziebart.pdf","skim","因果熵思想对应轨迹概率建模"
"FR074","Generative Adversarial Imitation Learning","2016","imitation","https://arxiv.org/abs/1606.03476","survey","不用显式 reward 也能匹配专家状态动作分布"
"FR075","Learning Robust Rewards with Adversarial Inverse Reinforcement Learning","2017","irl","https://arxiv.org/abs/1710.11248","deep","学可迁移 reward，适合不同魔塔图泛化"
"FR076","SQIL: Imitation Learning via Reinforcement Learning with Sparse Rewards","2019","imitation","https://arxiv.org/abs/1905.11108","survey","专家样本给 +1，普通样本给 0，简单稳定"
"FR077","Implicit Q-Learning for Offline Reinforcement Learning","2021","offline-rl","https://arxiv.org/abs/2110.06169","survey","用离线专家/搜索数据训练价值策略"
"FR078","Deep Reinforcement Learning from Human Preferences","2017","preference-rl","https://arxiv.org/abs/1706.03741","deep","用轨迹偏好学习 reward，可让人选更像正确魔塔路线"
"FR079","A Survey of Preference-Based Reinforcement Learning Methods","2017","preference-rl","https://jmlr.org/papers/v18/16-634.html","survey","偏好查询设计对应人类路线比较"
"FR080","Reward Learning from Human Preferences and Demonstrations in Atari","2018","preference-rl","https://papers.nips.cc/paper/8025-reward-learning-from-human-preferences-and-demonstrations-in-atari","survey","偏好+演示混合，适合已有搜索路线"
"FR081","Deep TAMER: Interactive Agent Shaping in High-Dimensional State Spaces","2017","human-feedback","https://arxiv.org/abs/1709.10163","survey","人类即时反馈可作为 reward 修正"
"FR082","Training an Agent Manually via Evaluative Reinforcement","2009","human-feedback","https://www.cs.utexas.edu/~pstone/Papers/bib2html-links/TAMER-KCAP09.pdf","skim","人工评价学习 reward 的早期框架"
"FR083","D-REX: Learning from Suboptimal Demonstrations using Ranking","2019","preference-rl","https://arxiv.org/abs/1907.03976","survey","用路线质量排序学 reward，不必全是最优路线"
"FR084","Using Reward Machines for High-Level Task Specification and Decomposition in Reinforcement Learning","2018","reward-machine","https://arxiv.org/abs/1807.03426","deep","把魔塔里程碑写成自动机 reward"
"FR085","Reward Machines: Exploiting Reward Function Structure in Reinforcement Learning","2022","reward-machine","https://jair.org/index.php/jair/article/view/12440","survey","系统化 reward machines，适合长视野任务分解"
"FR086","Reinforcement Learning with Temporal Logic Rewards","2017","temporal-logic","https://arxiv.org/abs/1612.03471","survey","用时序逻辑表达必须先后达成的魔塔事件"
"FR087","Temporal-Logic-Based Reward Shaping for Continuing Reinforcement Learning Tasks","2020","temporal-logic","https://arxiv.org/abs/2007.01498","survey","从逻辑公式自动构造 shaping"
"FR088","Lifelong Reinforcement Learning with Temporal Logic Formulas and Reward Machines","2021","reward-machine","https://arxiv.org/abs/2111.09475","skim","多任务 reward machine 迁移"
"FR089","Skill Machines: Temporal Logic Skill Composition in Reinforcement Learning","2022","skill-rl","https://arxiv.org/abs/2205.12532","skim","技能组合对应上楼/开门/拿装备宏动作"
"FR090","Text2Reward: Reward Shaping with Language Models for Reinforcement Learning","2023","llm-reward","https://arxiv.org/abs/2309.11489","deep","LLM 根据环境代码生成 dense reward"
"FR091","Eureka: Human-Level Reward Design via Coding Large Language Models","2023","llm-reward","https://arxiv.org/abs/2310.12931","deep","LLM 进化 reward 代码，可用于魔塔 reward 候选"
"FR092","RAP: Reasoning via Planning with Language Models","2023","llm-planning","https://arxiv.org/abs/2305.14992","survey","语言模型生成高层计划，底层用模拟器验证"
"FR093","Reflexion: Language Agents with Verbal Reinforcement Learning","2023","llm-feedback","https://arxiv.org/abs/2303.11366","skim","失败反思可记录为路线禁忌"
"FR094","Voyager: An Open-Ended Embodied Agent with Large Language Models","2023","llm-agent","https://arxiv.org/abs/2305.16291","survey","技能库和自动课程对应魔塔宏动作库"
"FR095","Sokoban is PSPACE-complete","1997","puzzle-complexity","https://webdocs.cs.ualberta.ca/~joe/Preprints/Sokoban/paper.html","survey","说明不可逆网格谜题难度，映射魔塔死局"
"FR096","SOKOBAN and Other Motion Planning Problems","1999","puzzle-complexity","https://doi.org/10.1016/S0925-7721(99)00017-6","survey","运动规划复杂性基线"
"FR097","An Investigation of Model-Free Planning","2019","sokoban-rl","https://arxiv.org/abs/1901.03559","survey","DRC 内部规划为魔塔 RNN 提供参考"
"FR098","Planning in a Recurrent Neural Network that Plays Sokoban","2024","sokoban-interpretability","https://arxiv.org/abs/2407.15421","deep","分析 RNN 规划行为，启发内部 ticks"
"FR099","Path Channels and Plan Extension Kernels: A Mechanistic Description of Planning in a Sokoban RNN","2026","sokoban-interpretability","https://openreview.net/forum?id=aAshH4kQ1v","survey","路径通道/负激活回溯可类比魔塔门和怪阻塞"
"FR100","Beyond A*: Better Planning with Transformers via Search Dynamics Bootstrapping","2024","neural-search","https://arxiv.org/abs/2402.14083","deep","用 A* 搜索轨迹训练 Transformer，适合魔塔搜索日志蒸馏"
"FR101","Solving Sokoban with Backward Reinforcement Learning","2021","sokoban-rl","https://www.researchgate.net/publication/351354659_Solving_Sokoban_with_backward_reinforcement_learning","survey","反向生成提示，对应从通关状态回推子目标"
"FR102","Transfer Learning and Curriculum Learning in Sokoban","2021","sokoban-rl","https://arxiv.org/abs/2105.11702","survey","课程学习可从前十层扩展到全塔"
"FR103","The NetHack Learning Environment","2020","grid-rl","https://arxiv.org/abs/2006.13760","survey","复杂符号网格环境设计参考"
"FR104","MiniHack the Planet: A Sandbox for Open-Ended Reinforcement Learning Research","2021","grid-rl","https://arxiv.org/abs/2109.13202","survey","任务生成和评测协议参考"
"FR105","The NetHack Challenge: Designing a Reinforcement Learning Competition","2021","grid-rl","https://arxiv.org/abs/2109.13943","skim","长视野 roguelike 评测经验"
"FR106","Decision Transformer: Reinforcement Learning via Sequence Modeling","2021","offline-rl","https://arxiv.org/abs/2106.01345","survey","把路线当序列建模，适合专家轨迹"
"FR107","Trajectory Transformer: Offline Reinforcement Learning as One Big Sequence Modeling Problem","2021","offline-rl","https://arxiv.org/abs/2106.02039","survey","规划可转成轨迹补全"
"FR108","Offline Reinforcement Learning Tutorial, Review, and Perspectives on Open Problems","2020","offline-rl","https://arxiv.org/abs/2005.01643","survey","离线数据风险控制"
"FR109","Solving Sokoban using Hierarchical Reinforcement Learning with Landmarks","2025","hierarchical-rl","https://arxiv.org/abs/2504.04366","deep","HalfWeg 递归中间状态思想适合魔塔关键资源状态"
"FR110","Learning Temporally Extended Skills in Continuous Domains as Symbolic Actions for Planning","2022","hierarchical-rl","https://arxiv.org/abs/2207.05018","survey","SEADS 技能效果符号化对应开门/战斗/取物技能"
